px,py,pz,nx,ny,nz
0.88491,-0.221174,1.63748,-0.401606,0.915813,0
0.666809,-0.149639,2.47361,-0.534686,0.808273,0.246588
-0.795251,0.155435,0.600704,0.20198,0.96739,-0.15284
-0.667959,0.342495,0.579924,-0.126598,0.849089,0.512855
-0.868239,-0.458974,1.70455,-0.462028,0.886865,0
-0.823275,-0.194229,0.0301758,-0.187002,0.982152,-0.020178
-0.823284,-0.194291,0.0272274,-0.187002,0.982152,-0.020178
0.250512,-0.186965,2.99961,0.503483,0.848696,0.161926
-0.835994,-0.00551536,2.24723,0.401356,0.90181,-0.160162
-0.687995,0.998588,2.66193,-0.17391,0.984762,0
0.0275533,0.096614,2.34603,0.596214,0.802826,0
0.827166,-0.0382599,2.61896,0.164708,0.939486,-0.300395
-0.898128,-0.0480954,1.33512,0.119919,0.984351,0.12912
0.226092,-0.172478,2.99961,0.503483,0.848696,0.161926
0.642895,0.0253313,2.99617,0.097144,0.99527,0
0.916765,0.702932,2.30042,-0.502213,0.864744,0
-0.696654,0.204971,2.87095,-0.528028,0.849227,0
0.805866,0.657984,0.548249,0.533048,0.843183,0.0700154
-0.775249,0.154329,0.620136,0.20198,0.96739,-0.15284
# Fitted VMF mean direction: 0.0284998,0.999244,0.0264277
# Fitted VMF kappa: 10.836
