px,py,pz,nx,ny,nz
0.0146637,0.622647,2.96172,0.312776,-0.843617,-0.436442
-0.715692,0.485404,0.880029,-0.0555028,0.599786,0.798233
0.918179,0.703753,2.30243,-0.502213,0.864744,0
0.0393745,-0.0271011,0.858615,0.225274,-0.0211131,-0.974067
-0.0700678,0.0392758,2.39596,0.372304,-0.74048,0.559535
0.250456,-0.4038,0.115093,0.235864,0.959069,-0.156699
-0.352007,-0.750386,1.37615,0.0375183,-0.999296,0
-0.0965425,-0.501754,0.444702,-0.995134,-0.0985366,0
0.680731,-0.14471,2.48764,-0.534686,0.808273,0.246588
-0.69876,-0.220306,0.180811,-0.958653,-0.284579,0
0.535317,0.862719,0.385026,-0.342811,-0.0296643,0.938936
-0.641946,0.704733,1.61487,-0.90785,-0.382156,0.172528
-0.103407,0.682246,2.06943,-0.643092,0.765789,0
0.378592,0.283255,1.8543,-0.657793,-0.632672,0.408699
-0.238445,-0.191408,1.6333,-0.213112,-0.587412,-0.780724
0.0794825,-0.141537,2.74888,-0.208728,-0.414581,-0.885751
0.557246,0.0228994,2.74562,0.395093,0.389683,-0.831895
0.314392,-0.44736,0.118868,-0.0374221,-0.152165,-0.987646
0.972263,-0.026204,2.26246,-0.589191,-0.397038,0.703715
-0.565677,0.897451,0.453495,0.637171,-0.365161,-0.678727
-0.742387,-0.0691899,1.16315,0.786653,0.617396,0
-0.187402,0.861973,0.175551,-0.330607,0.160614,0.930001
0.687713,-0.147275,2.94059,0.994393,0.0504279,0.0929523
0.877909,0.948404,0.035006,0.572603,-0.683619,0.452538
0.131033,-0.984365,2.08903,0.0281369,0.0386329,-0.998857
0.218079,0.684963,0.475534,0.622696,-0.0558254,0.78047
0.626459,0.150814,1.42912,0.465635,-0.467941,0.751143
-0.61118,0.839872,0.463356,-0.588876,0.337483,-0.734391
0.410867,0.992995,1.77298,0.115328,0.123701,0.985595
0.715633,-0.00406454,1.00657,-0.348328,-0.774212,-0.528454
-0.934524,0.66795,2.77072,0.830207,0.557455,0
-0.971965,-0.282999,0.251913,0.872211,0.488992,-0.0116016
0.214734,0.644064,0.475277,0.622696,-0.0558254,0.78047
0.20957,0.450501,1.60494,0.410005,0.840916,-0.353209
-0.592247,0.926632,1.07554,0.652161,0.216644,0.726465
-0.166553,0.865582,0.13306,0.436977,0.899473,0
0.0602209,-0.788887,2.9768,-0.00609282,-0.672301,0.740253
0.146353,-1.00825,2.36196,-0.882498,0.3866,0.267839
-0.637636,0.93495,2.39132,0.941724,-0.00295049,-0.336372
0.700473,-0.236868,0.926691,0.00289041,-0.0481176,-0.998838
0.708688,-0.923848,2.18435,0.824128,0.424635,-0.37483
