spp,repeat,returncode,wall_time_s,mitsuba_time_s,effective_time_s,mse,rmse,rel_mse,rel_rmse,E,spatial_var,flip
1,1,0,4.926623548381031,4.019,4.019,0.12006166577339172,0.34649915695913563,10.529619216918945,3.244937475039996,-0.0004243567236699164,0.12006153166294098,
1,2,0,4.980121904052794,4.06,4.06,0.12723857164382935,0.35670516066329816,11.850153923034668,3.4424052525864335,-0.000661221332848072,0.12723831832408905,
1,3,0,4.92008559871465,4.03,4.03,0.16501130163669586,0.40621583134670647,14.998279571533203,3.8727612334784083,-0.0006092488183639944,0.16501088440418243,
2,1,0,4.9108658116310835,3.991,3.991,0.16795432567596436,0.40982230988071444,12.83983325958252,3.5832713070018185,-0.0005801442894153297,0.1679539680480957,
2,2,0,4.954246441833675,4.046,4.046,0.1696327030658722,0.41186490875755877,9.739618301391602,3.1208361542047673,-0.0005847282591275871,0.1696324348449707,
2,3,0,4.9473562659695745,4.055,4.055,0.1780698001384735,0.42198317518412215,15.283931732177734,3.9094669370871693,0.0009720360394567251,0.17806893587112427,
4,1,0,4.969284957274795,4.046,4.046,0.14312893152236938,0.3783238447710762,11.559781074523926,3.3999678049246183,0.0007904879166744649,0.14312836527824402,
4,2,0,4.922493057325482,4.003,4.003,0.1404765546321869,0.37480202058178247,18.054725646972656,4.2490852717935255,-0.00024050458159763366,0.1404765248298645,
4,3,0,4.890006442554295,3.994,3.994,0.14580141007900238,0.38183950827409463,16.009559631347656,4.0011947754824,-0.0014739891048520803,0.14579924941062927,
