spp,repeat,returncode,wall_time_s,mitsuba_time_s,effective_time_s,mse,rmse,rel_mse,rel_rmse,E,spatial_var,flip
1,1,0,4.831330164335668,0.0296,0.0296,0.5860708951950073,0.7655526730375953,16.209808349609375,4.02614062715268,0.0005156005499884486,0.5860706567764282,
1,2,0,4.798111009411514,0.0298,0.0298,0.6515148878097534,0.807164721608764,9.747730255126953,3.1221355279883274,-0.004027906805276871,0.6514990329742432,
1,3,0,4.752081029117107,0.0294,0.0294,0.8842966556549072,0.9403704885070071,17.130895614624023,4.13894861222316,-0.002220223192125559,0.8842916488647461,
2,1,0,4.824512646533549,0.0586,0.0586,0.3526087999343872,0.5938087233565933,8.090048789978027,2.844301107474036,0.0013212851481512189,0.3526068329811096,
2,2,0,4.789372283965349,0.0526,0.0526,0.3267459571361542,0.5716169671520905,8.12450122833252,2.8503510710669517,0.0008670195238664746,0.3267451524734497,
2,3,0,4.820901058614254,0.0524,0.0524,0.299130380153656,0.5469281307024315,11.343244552612305,3.3679733598430235,0.0008933122153393924,0.2991296648979187,
4,1,0,4.836799361743033,0.0979,0.0979,0.13796252012252808,0.3714330627751494,5.537598133087158,2.3532101761396405,-0.001481405459344387,0.1379602700471878,
4,2,0,4.851199625059962,0.0972,0.0972,0.14094367623329163,0.3754246611948816,5.459175109863281,2.336487772247756,0.00037909665843471885,0.14094358682632446,
4,3,0,4.829305956140161,0.0992,0.0992,0.19933199882507324,0.44646612281904796,4.436737060546875,2.1063563469999265,-0.00026375328889116645,0.19933196902275085,
