spp,n_repeats,n_success,mean_wall_time_s,var_wall_time_s,mean_mitsuba_time_s,var_mitsuba_time_s,mean_effective_time_s,var_effective_time_s,mean_mse,var_mse,std_mse,mean_rmse,var_rmse,std_rmse,mean_rel_mse,var_rel_mse,mean_rel_rmse,var_rel_rmse,mean_E,var_E,mean_spatial_var,mean_flip,var_flip,std_flip
1,3,3,4.793840734288096,0.001055855196963125,0.0296,2.666666666666681e-08,0.0296,2.666666666666681e-08,0.7072941462198893,0.016378763534706624,0.12797954342279325,0.8376959610511222,0.005559623058526188,0.07456287989694461,14.362811406453451,10.790887308293248,3.762408255788056,0.20709552323132954,-0.0019108431491379936,3.4884345200578365e-06,0.7072871128718058,nan,nan,nan
2,3,3,4.811595329704384,0.00024910580884274935,0.05453333333333333,8.275555555555548e-06,0.05453333333333333,8.275555555555548e-06,0.3261617124080658,0.00047682756799183323,0.021836381751376147,0.5707846070703718,0.0003666447395870606,0.019147969594373725,9.185931523640951,2.3271975809028747,3.020875179461337,0.06024467375538478,0.0010272056291190286,4.335659936125051e-08,0.3261605501174927,nan,nan,nan
4,3,3,4.839101647647719,8.253904998843904e-05,0.0981,6.866666666666672e-07,0.0981,6.866666666666672e-07,0.15941273172696432,0.0007982551581178714,0.028253409672424873,0.3977746155963597,0.0011880869141326215,0.034468636673541664,5.1445034344991045,0.2514916484773393,2.265351431795774,0.012686324959939974,-0.00045535402993361157,5.9526677702743e-07,0.15941194196542105,nan,nan,nan
