spp,n_repeats,n_success,mean_wall_time_s,var_wall_time_s,mean_mitsuba_time_s,var_mitsuba_time_s,mean_effective_time_s,var_effective_time_s,mean_mse,var_mse,std_mse,mean_rmse,var_rmse,std_rmse,mean_rel_mse,var_rel_mse,mean_rel_rmse,var_rel_rmse,mean_E,var_E,mean_spatial_var,mean_flip,var_flip,std_flip
1,3,3,4.9315201276913285,0.00012693370259687976,0.18826666666666667,7.902222222222216e-06,0.18826666666666667,7.902222222222216e-06,0.8594114581743876,0.0003667537384480902,0.019150815607907937,0.9269865037857142,0.00010747997352563694,0.010367254869329535,3.0995237827301025,0.030909606372726255,1.7598513469807762,0.002447019260049763,-0.0027308627807845673,1.0243705598604463e-06,0.8594029545783997,nan,nan,nan
2,3,3,4.887500973418355,0.0003954411463484824,0.19310000000000002,9.646666666666658e-06,0.19310000000000002,9.646666666666658e-06,0.4242040812969208,0.00028429494729446486,0.016861048226443836,0.6511810648122013,0.00016730212696831846,0.012934532344399563,1.6078030665715535,0.004620861167385076,1.2677056189498748,0.0007255302544686353,0.0010757697843170415,1.5761929441317577e-06,0.4242013295491536,nan,nan,nan
4,3,3,4.92159996399035,0.0021678006677385646,0.212,8.86666666666649e-07,0.212,8.86666666666649e-07,0.21646630267302194,0.00010770090967095039,0.010377904878680975,0.4651235598082548,0.0001263767843187734,0.011241742939543378,0.9348195195198059,0.0001673194514424381,0.9668373964718078,4.4968303422172465e-05,-0.0005966660877068838,9.377143741624271e-07,0.21646498640378317,nan,nan,nan
