node_index,aabb_min_x,aabb_min_y,aabb_min_z,aabb_max_x,aabb_max_y,aabb_max_z,n_subtree_primitives,n_leaf_primitives,node_type,valid,surface_area,center_of_mass_x,center_of_mass_y,center_of_mass_z,importance,importance_gt
85,-0.557673,0.648262,0.2256,0.231436,0.783868,0.464916,4,4,leaf,1,0.000200001,-0.0225027,0.713592,0.390711,0.0559763,0
86,-0.664011,0.824823,1.0688,-0.537927,0.94363,1.12101,5,0,interior,1,0.01015,-0.601101,0.883914,1.09461,0.0019571,0
87,-0.664011,0.824823,1.0688,-0.572473,0.94363,1.12101,2,2,leaf,1,0.00505,-0.622241,0.890375,1.10344,0.00201756,0
88,-0.629676,0.824823,1.0688,-0.537927,0.94363,1.12101,3,3,leaf,1,0.0051,-0.580168,0.877516,1.08587,0.00169648,0
89,-0.664011,0.824823,1.0688,-0.0578907,0.94363,1.53307,10,0,interior,1,0.0104,-0.593756,0.884432,1.10149,0.00549061,0
90,-0.664011,0.824823,1.06965,-0.537927,0.94363,1.12186,5,0,interior,1,0.01015,-0.601288,0.88434,1.09605,0.00195766,0
91,-0.664011,0.824823,1.06965,-0.537927,0.903371,1.12186,2,2,leaf,1,0.00505,-0.610814,0.864392,1.08722,0.0020061,0
92,-0.664011,0.865081,1.06965,-0.537927,0.94363,1.12186,3,3,leaf,1,0.0051,-0.591856,0.904092,1.10479,0.00169831,0
93,-0.572473,0.847247,1.0688,-0.0578907,0.94363,1.53307,5,0,interior,1,0.000249987,-0.287928,0.888197,1.32217,0.185371,0
94,-0.572473,0.865081,1.0688,-0.537927,0.94363,1.12186,2,2,leaf,1,9.99939e-05,-0.5552,0.904355,1.09533,0,0
95,-0.180601,0.847247,1.46556,-0.0578907,0.920648,1.53307,3,3,leaf,1,0.000149993,-0.109749,0.877424,1.47339,0.187322,0
96,-0.699633,0.701459,1.46556,-0.0578907,0.971115,1.67343,19,0,interior,1,0.04055,-0.384336,0.81775,1.56209,0.0241519,0
97,-0.699633,0.701459,1.57534,-0.597745,0.751257,1.67343,9,0,interior,1,0.02025,-0.648824,0.726337,1.6241,0.0181625,0
98,-0.699633,0.701459,1.57534,-0.603738,0.751257,1.67343,4,4,leaf,1,0.00515,-0.66638,0.727722,1.60817,0.0222565,0
99,-0.699633,0.701459,1.57534,-0.597745,0.751257,1.67343,5,0,interior,1,0.0151,-0.642837,0.725865,1.62954,0.0166681,0
100,-0.699633,0.701459,1.57534,-0.597745,0.751257,1.67322,2,2,leaf,1,0.00505,-0.663207,0.734738,1.63995,0.0158086,0
101,-0.699346,0.701459,1.57534,-0.597745,0.750321,1.67343,3,3,leaf,1,0.01005,-0.632601,0.721407,1.6243,0.0170973,0
102,-0.603738,0.702395,1.46556,-0.0578907,0.971115,1.67343,10,0,interior,1,0.0203,-0.1205,0.908938,1.50023,0.0321586,0
103,-0.603738,0.702395,1.46556,-0.111698,0.971115,1.67343,5,0,interior,1,0.0052,-0.144622,0.90415,1.51227,0.0390631,0
104,-0.603738,0.702395,1.4663,-0.1263,0.898176,1.67343,2,2,leaf,1,0.0001,-0.381098,0.798076,1.57587,0.214063,0
105,-0.180601,0.847709,1.46556,-0.111698,0.971115,1.53381,3,3,leaf,1,0.0051,-0.139985,0.90623,1.51102,0.0354283,0
106,-0.180108,0.847247,1.46556,-0.0578907,0.971115,1.53381,5,0,interior,1,0.0151,-0.112193,0.910586,1.49608,0.0296011,0
107,-0.180108,0.847247,1.46556,-0.0578907,0.971115,1.53381,2,2,leaf,1,0.01,-0.110278,0.90077,1.48844,0.0291871,0
108,-0.180108,0.897714,1.46556,-0.0578907,0.971115,1.53381,3,3,leaf,1,0.0051,-0.115948,0.929834,1.51108,0.0303972,0
109,0.132447,-0.602194,-0.0317177,0.936143,0.98443,1.67798,150,0,interior,1,0.2649,0.511868,0.123351,0.587722,0.0892036,5.83963e-12
110,0.132447,-0.602194,-0.0317177,0.928814,0.98443,0.464916,75,0,interior,1,0.13245,0.590909,0.0224074,0.204058,0.0422871,1.38933e-12
111,0.252336,-0.602194,0.0761049,0.813733,-0.23653,0.443798,37,0,interior,1,0.06125,0.547429,-0.515585,0.217713,0.0733125,4.32973e-12
112,0.252336,-0.590419,0.0761049,0.616242,-0.23653,0.443798,18,0,interior,1,0.02565,0.336516,-0.472584,0.127351,0.0414861,3.13667e-12
113,0.252336,-0.511485,0.0761049,0.295511,-0.409368,0.169736,9,0,interior,1,0.02025,0.273812,-0.46031,0.122652,0.0401433,6.54228e-13
114,0.252336,-0.511485,0.0761049,0.295511,-0.411622,0.169736,4,4,leaf,1,0.00515,0.269184,-0.477423,0.106597,0.0340806,0
115,0.252336,-0.511485,0.0761049,0.295511,-0.409368,0.169736,5,0,interior,1,0.0151,0.27539,-0.454473,0.128128,0.0422682,8.50547e-13
116,0.252336,-0.511485,0.0764656,0.29458,-0.409426,0.169736,2,2,leaf,1,0.01,0.273458,-0.460456,0.123101,0.0407634,0
117,0.252336,-0.509173,0.0761049,0.295511,-0.409368,0.169736,3,3,leaf,1,0.0051,0.279178,-0.442743,0.137984,0.0451749,1.44345e-12
118,0.259518,-0.590419,0.0761049,0.616242,-0.23653,0.443798,9,0,interior,1,0.00540001,0.571658,-0.51861,0.14497,0.0461275,8.98572e-12
119,0.259518,-0.511427,0.0761049,0.366758,-0.23653,0.443798,4,4,leaf,1,0.000200003,0.300525,-0.420019,0.22391,0.0100335,0
120,0.562334,-0.590419,0.113456,0.616242,-0.487013,0.198672,5,0,interior,1,0.0052,0.582087,-0.522402,0.141934,0.0467137,9.06844e-12
121,0.562334,-0.590419,0.113456,0.569901,-0.490588,0.113987,2,2,leaf,1,0.000100002,0.566117,-0.540503,0.113721,0.00484863,0
122,0.562334,-0.590419,0.113456,0.616242,-0.487013,0.198672,3,3,leaf,1,0.0051,0.5824,-0.522047,0.142487,0.0476731,8.99044e-12
123,0.563178,-0.602194,0.113456,0.813733,-0.487013,0.413896,19,0,interior,1,0.0356,0.699394,-0.546569,0.28282,0.0979839,5.29871e-12
124,0.563178,-0.602194,0.113456,0.754201,-0.487013,0.334034,9,0,interior,1,0.0153,0.597244,-0.544352,0.162027,0.0545799,0
125,0.563178,-0.590419,0.113456,0.622964,-0.487013,0.198672,4,4,leaf,1,0.0101,0.5931,-0.539181,0.155801,0.0527813,0
126,0.569056,-0.602194,0.113987,0.754201,-0.487013,0.334034,5,0,interior,1,0.0052,0.605292,-0.554394,0.174122,0.0579835,0
127,0.569056,-0.590419,0.113987,0.622964,-0.48707,0.198672,2,2,leaf,1,0.00505,0.602368,-0.554765,0.170722,0.0580596,0
128,0.615397,-0.602194,0.19814,0.754201,-0.487013,0.334034,3,3,leaf,1,0.000150002,0.703714,-0.541881,0.288595,0.0163724,0
129,0.73874,-0.602194,0.333432,0.813733,-0.494329,0.413896,10,0,interior,1,0.0203,0.776383,-0.548239,0.373861,0.132056,9.16475e-12
130,0.73874,-0.602194,0.333432,0.813733,-0.494446,0.413896,5,0,interior,1,0.0151,0.773679,-0.554554,0.369356,0.130901,0
131,0.753411,-0.602194,0.333432,0.813733,-0.593247,0.413896,2,2,leaf,1,0.000100001,0.783572,-0.59772,0.373664,0.0100193,0
132,0.73874,-0.602194,0.333432,0.813733,-0.494446,0.413896,3,3,leaf,1,0.015,0.773613,-0.554267,0.369328,0.131691,0
133,0.73874,-0.593364,0.333432,0.813733,-0.494329,0.413896,5,0,interior,1,0.0052,0.784237,-0.529902,0.386941,0.135281,2.25676e-11
134,0.798272,-0.593364,0.413294,0.813733,-0.494329,0.413896,2,2,leaf,1,0.000100001,0.806003,-0.543846,0.413595,0.0249092,0
135,0.73874,-0.593247,0.333432,0.813733,-0.494329,0.413896,3,3,leaf,1,0.0051,0.78381,-0.529628,0.386418,0.137248,2.28394e-11
136,0.132447,-0.281012,-0.0317177,0.928814,0.98443,0.464916,38,0,interior,1,0.0712,0.628312,0.485217,0.192311,0.0143845,0
137,0.144181,-0.281012,-0.0317177,0.928814,0.68571,0.443798,19,0,interior,1,0.04055,0.622323,0.20521,0.207482,0.0122796,0
138,0.318927,-0.281012,0.366781,0.434859,-0.163302,0.443798,9,0,interior,1,0.02025,0.377113,-0.222193,0.405069,0.0259334,0
139,0.318927,-0.281012,0.366781,0.434859,-0.207265,0.443798,4,4,leaf,1,0.00515,0.373999,-0.242225,0.392379,0.0256808,0
140,0.318927,-0.280492,0.366781,0.434859,-0.163302,0.443798,5,0,interior,1,0.0151,0.378176,-0.215361,0.409397,0.0260063,0
141,0.318927,-0.280492,0.366781,0.434859,-0.163302,0.443798,2,2,leaf,1,0.01,0.369015,-0.21483,0.418018,0.0260701,0
142,0.366199,-0.280492,0.366781,0.434859,-0.163302,0.443798,3,3,leaf,1,0.0051,0.396139,-0.216402,0.392494,0.0258281,0
143,0.144181,0.577705,-0.0317177,0.928814,0.68571,0.408752,10,0,interior,1,0.0203,0.866928,0.631561,0.0103818,0.000196165,0
144,0.144181,0.577705,-0.0311079,0.893787,0.68571,0.408752,5,0,interior,1,0.0052,0.838287,0.633206,0.0296669,0.000534795,0
145,0.144181,0.648262,0.407925,0.24325,0.663001,0.408752,2,2,leaf,1,0.000100001,0.193716,0.655632,0.408339,0.0177007,0
146,0.811476,0.577705,-0.0311079,0.893787,0.68571,0.0481487,3,3,leaf,1,0.0051,0.850926,0.632766,0.0222419,0.000376135,0
147,0.811476,0.577705,-0.0317177,0.928814,0.68571,0.0481487,5,0,interior,1,0.0151,0.876791,0.630994,0.00374055,7.17864e-05,0
148,0.893332,0.577705,-0.0317177,0.928814,0.628268,0.0481487,2,2,leaf,1,9.99979e-05,0.911073,0.602986,0.0082155,0,0
