px,py,pz,nx,ny,nz
0.589127,-0.0597606,2.66524,0.234423,0.736633,-0.634364
0.754291,-0.299559,0.723517,-0.866967,0.498365,0
1.00994,0.560733,1.4357,-0.23816,0.907916,-0.344917
-0.199901,0.438097,2.13792,-0.712506,0.606734,-0.352433
0.435905,-0.771611,1.19032,0.154526,0.982154,0.10722
-0.284159,0.203442,1.59081,-0.126495,0.991967,0
0.658508,-0.210682,0.972945,0.408364,0.324396,0.853233
-0.822576,-0.119098,1.18369,-0.390416,0.599451,0.698738
0.655438,0.00893809,3.01486,0.74047,0.672089,0
0.67241,-0.48408,0.460737,-0.998782,0.0493366,0
-0.333859,0.280779,2.02534,0.0688033,0.798533,0.598006
0.230876,-0.193448,1.86777,-0.467667,0.809904,0.354038
-0.910903,-0.67878,2.61806,0.740294,0.197822,-0.64252
-0.323027,-0.703428,1.35113,0.32039,0.230653,-0.918776
0.947313,-0.80749,2.32614,0.192065,0.981382,0
-0.360587,-0.268892,1.49877,0.326329,0.60577,0.725639
0.708745,-0.706743,1.52013,-0.393078,0.686521,0.611702
1.01878,0.873646,0.875638,0.781338,0.612843,0.118049
-0.31796,0.163198,1.90968,-0.0646748,0.128519,-0.989596
0.0968088,0.277148,1.83808,0.411632,0.91135,0
-0.191529,0.90431,1.33668,-0.0275774,0.895384,-0.44444
0.574602,0.893467,0.805622,-0.83214,0.554565,0
0.757976,-0.671029,0.425723,-0.443992,0.876221,0.187369
0.853253,0.589382,0.324862,-0.525839,0.13414,-0.83994
0.678851,0.298573,0.82698,0.12153,0.317167,0.940551
0.0677503,-0.0914043,2.80575,0.820596,0.0692051,0.567303
-0.352087,-0.286592,1.50973,0.326329,0.605771,0.725639
-0.512169,0.541829,1.93204,0.492569,0.870274,0
-0.664126,0.911027,2.44961,-0.292612,0.183747,0.938411
-0.0780062,0.541737,1.51221,-0.150201,0.339766,0.928439
1.01767,0.677865,2.37824,0.959638,0.281237,0
0.865645,-0.556333,1.53034,-0.404124,0.914704,0
-0.0644828,-0.441976,0.491345,-0.254756,0.851729,0.457883
0.292595,0.019232,0.449565,-0.538055,0.821395,0.189228
0.0610207,0.695695,0.549827,-0.841326,0.105896,0.530054
0.94422,0.905871,2.25958,-0.142002,0.989866,0
-0.293111,0.25133,2.05997,0.0688033,0.798533,0.598006
-0.288569,-0.14223,1.67176,0.125509,0.281577,0.951295
0.716798,-0.483006,0.46842,0.0224434,0.45435,0.890541
0.0713372,-0.0836384,2.79962,0.820596,0.0692051,0.567303
-0.0544205,0.610862,2.04061,0.180241,0.0830836,-0.980107
-0.189488,-0.626316,2.29639,0.146653,0.162727,-0.975711
-0.590147,-0.483888,2.2017,0.602013,0.798487,0
-0.100793,0.628479,2.03358,0.180241,0.0830836,-0.980107
0.780006,-0.537814,0.098257,0.318241,0.457928,-0.830075
0.618089,-0.771467,2.70245,-0.104563,0.994518,0
-0.762396,-0.813343,2.23347,-0.680349,0.732888,0
0.81396,-0.101812,1.21498,-0.330249,0.404163,-0.852988
-0.602847,0.842137,0.483944,0.100368,0.0865104,-0.991182
0.734058,0.664968,2.03989,-0.668492,0.152907,0.727831
-0.242087,0.190591,2.98624,0.429091,0.903261,0
0.69596,0.598122,1.17995,0.353333,0.0497114,0.934176
0.0830443,-0.594313,2.28756,-0.795338,0.606167,0
0.116118,-0.971979,2.12987,0.381885,0.865053,0.325342
0.906825,0.756188,2.83851,-0.468384,0.129388,-0.874
-0.824585,0.29376,2.79111,-0.627695,0.77846,0
-0.918735,0.659751,0.216405,0.109456,0.387964,0.915152
-0.676349,-0.183694,0.206677,-0.725003,0.688746,0
-1.03337,-0.0394591,0.535975,-0.232314,0.287123,0.929296
-0.258637,-0.155231,1.67166,0.125509,0.281577,0.951295
-0.251636,1.01404,2.78249,-0.804316,0.594202,0
-0.650823,0.93266,2.44953,-0.292612,0.183747,0.938411
0.854378,-0.22453,0.492628,0.0322784,0.810042,-0.585483
0.672051,0.281017,0.833778,0.12153,0.317167,0.940551
-0.282843,0.195704,1.63346,0.00764864,0.000975353,0.99997
-0.277738,0.155676,1.63346,0.00764864,0.000975353,0.99997
0.236249,-0.609366,0.359557,-0.373744,0.546571,0.749383
-0.316948,-0.560687,0.815561,-0.0400105,0.982103,-0.184047
-0.232748,1.00368,2.82113,0.03849,0.0521003,0.9979
-0.712944,-0.397606,2.17775,-0.836803,0.155937,0.524828
-0.829262,0.688407,2.40845,-0.206826,0.267581,0.941076
0.619693,-0.771298,2.71293,-0.104563,0.994518,0
-0.661757,0.914881,2.4496,-0.292612,0.183747,0.938411
0.87421,-0.911162,0.15096,0.120111,0.297559,-0.947118
-0.292181,-0.14066,1.67177,0.125509,0.281577,0.951295
0.752482,-0.929827,2.17389,-0.0896943,0.994202,-0.0593107
-1.02424,-0.250958,0.201715,-0.101957,0.815718,0.569394
0.0697878,0.666044,1.50326,0.765974,0.631891,0.118312
-0.817283,-0.46982,1.75033,0.499738,0.866176,0
0.139741,0.250477,2.59238,0.744749,0.568134,0.350105
0.0381613,-0.56676,2.2953,0.819702,0.214654,-0.531048
-0.859166,0.174541,0.587133,0.341204,0.7859,-0.515694
-0.0754642,0.618747,2.03741,0.180241,0.0830836,-0.980107
-0.0529959,0.770258,2.84949,-0.265014,0.170439,0.949062
-0.657959,0.66353,0.0816423,0.318839,0.947809,0
0.76196,-0.928391,2.18361,-0.0896943,0.994202,-0.0593107
0.772441,-0.551767,0.390232,0.832371,0.45455,0.317085
-0.208467,0.408196,2.12534,0.100953,0.326309,-0.939857
-0.492227,0.665214,1.98002,-0.107239,0.300218,0.947823
0.645041,0.194738,0.387376,0.682717,0.725384,-0.0878364
-0.999417,-0.261234,0.220881,-0.101957,0.815718,0.569394
-1.04251,-0.0283483,0.529356,-0.584531,0.722437,-0.369336
-0.360072,-0.449309,2.58513,0.108025,0.201549,0.973503
-0.936407,-0.228509,1.0291,-0.196173,0.768703,-0.608778
0.672911,0.758775,0.216187,-0.597782,0.743774,0.299094
-0.00168721,0.666293,1.84746,0.8834,0.468619,0
0.894071,0.64549,0.0053609,-0.481484,0.79624,-0.3663
-1.01243,-0.267749,1.00405,-0.196173,0.768703,-0.608778
0.0537768,-0.0288063,0.825697,0.60888,0.390253,-0.690629
0.655328,0.869815,0.813907,0.52801,0.792293,0.305741
0.97866,0.17279,0.909219,0.041596,0.0788493,-0.996018
-0.251239,-0.421376,0.846908,-0.116041,0.95811,0.261841
0.0622742,0.677713,1.48958,0.765974,0.631891,0.118312
0.9648,0.45127,2.69722,0.718106,0.695934,0
0.555101,-0.814594,1.16995,0.83727,0.546789,0
0.0581537,-0.0892945,0.653002,-0.415745,0.468742,-0.779382
-0.834951,0.285401,2.81739,-0.627695,0.77846,0
0.964124,0.451967,2.69882,0.718106,0.695934,0
0.702081,0.49694,2.03102,0.506202,0.0597051,-0.860346
1.00978,0.561391,1.43755,-0.23816,0.907916,-0.344917
0.864531,-0.556825,1.52571,-0.404124,0.914704,0
0.655215,0.213396,1.40735,0.135934,0.885383,-0.444543
0.368964,-0.256643,0.406711,-0.974284,0.205735,-0.091894
-0.206852,0.439223,0.736809,0.0179361,0.468532,0.883265
-0.0872944,0.197833,2.30241,-0.734462,0.67865,0
-0.855852,0.0528968,0.557094,-0.773361,0.295345,-0.560967
0.962373,-0.247305,1.6382,0.835274,0.382659,-0.394827
0.868758,0.580667,0.353198,-0.813876,0.207618,0.542679
0.824725,-0.558196,0.104158,0.318241,0.457928,-0.830075
-0.713106,0.945687,2.70286,0.913603,0.268271,0.305548
1.00883,0.565042,1.44781,-0.23816,0.907916,-0.344917
-0.318825,0.269899,2.03814,0.0688033,0.798533,0.598006
0.0535074,0.254447,1.8498,-0.85486,0.386117,0.346596
-0.733839,-0.786833,2.20969,-0.680349,0.732888,0
0.749499,0.0684726,1.00761,-0.594811,0.625466,-0.504968
0.914129,0.206522,0.917956,-0.884472,0.466593,0
-0.250851,-0.425104,0.86072,-0.116041,0.95811,0.261841
0.920433,0.646984,0.404049,0.247182,0.968969,0
0.202693,0.194413,2.85139,0.403718,0.873013,0.273608
-0.614954,-0.465185,2.18778,0.602013,0.798487,0
0.61362,0.129796,1.45228,0.0674609,0.439395,0.895757
0.408058,-0.0857507,2.4363,-0.893473,0.38158,-0.236862
0.824375,-0.138416,2.48952,0.521804,0.853066,0
1.00261,0.815786,0.869162,0.0928859,0.0728551,-0.993008
-0.837953,-0.0449511,1.30028,-0.621603,0.559792,0.547944
-0.935069,0.969992,2.41715,0.989458,0.0614236,-0.131147
0.148962,0.475041,0.454978,-0.800459,0.599387,0
-0.892778,0.588656,2.45018,-0.646372,0.763022,0
0.269094,-0.592135,2.05202,-0.435038,0.0929675,-0.8956
-0.828956,0.290236,2.80219,-0.627695,0.77846,0
0.783948,0.284082,1.04685,-0.931971,0.361421,0.0283668
0.858874,0.314575,2.50106,-0.504044,0.473282,0.722457
-0.282074,0.189679,1.63346,0.00764864,0.000975353,0.99997
0.732685,0.773801,0.190483,-0.453197,0.885299,0.104206
0.419198,1.00934,1.69819,-0.372835,0.927898,0
0.679071,0.509364,0.726021,0.724748,0.295402,0.622477
-0.595754,0.398182,2.05898,-0.851415,0.524492,0
0.246084,0.571821,0.524763,0.576497,0.340017,-0.742994
-0.597273,0.563406,0.0330694,-0.0438752,0.684003,0.728159
0.424659,-0.358848,2.27547,0.783168,0.62181,0
-0.371137,-0.153807,0.126262,0.542064,0.180956,0.820623
0.154905,0.472865,0.492369,0.023163,0.0309334,0.999253
