spp,repeat,returncode,wall_time_s,mitsuba_time_s,effective_time_s,mse,rmse,rel_mse,rel_rmse,E,spatial_var,flip
1,1,0,8.731158033944666,0.125,0.125,0.5412542223930359,0.7356998181276354,0.9440104365348816,0.9716019949212134,-2.2049776816857047e-05,0.5412542223930359,
1,2,0,8.727336762472987,0.1262,0.1262,0.3931620717048645,0.6270263724157578,10.327120780944824,3.213583790870377,-0.0008322988287545741,0.39316147565841675,
1,3,0,8.644731109030545,0.1266,0.1266,0.4505658745765686,0.6712420387435285,1.6271207332611084,1.2755864272016648,-0.0016582843381911516,0.45056310296058655,
2,1,0,8.809969725087285,0.2456,0.2456,0.26885029673576355,0.5185077595714104,2.7185416221618652,1.6488000552407394,-0.0020218631252646446,0.2688463032245636,
2,2,0,8.852101102471352,0.2534,0.2534,0.21652930974960327,0.465327099736952,2.282999038696289,1.5109596416503948,0.0004298947169445455,0.2165292501449585,
2,3,0,8.802183772437274,0.244,0.244,0.3176995813846588,0.5636484554974481,1.4279465675354004,1.1949671826185857,0.0007811023970134556,0.31769895553588867,
4,1,0,9.028552909381688,0.483,0.483,0.10860227793455124,0.32954859722740626,0.6318250298500061,0.7948742226604195,0.0003227337438147515,0.10860219597816467,
4,2,0,9.063168788328767,0.497,0.497,0.10006912052631378,0.3163370362861639,0.5070440173149109,0.7120702334144511,0.00041410073754377663,0.10006894171237946,
4,3,0,9.137206082232296,0.4738,0.4738,0.11617439240217209,0.3408436480296678,0.6043943762779236,0.7774280521552612,0.0006734027410857379,0.11617407202720642,
